,dataset,zarr_name,zarr_path,size_mb,n_files,has_zmetadata
0,precip,precip.1979_JFM.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,s3://nasa-cryo-scratch/jkingslake/Daily-2km-zarr/precip/precip.1979_JFM.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,844.523236,32,True
1,ff10m,ff10m.1979_JFM.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,s3://nasa-cryo-scratch/jkingslake/Daily-2km-zarr/ff10m/ff10m.1979_JFM.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,146.697116,17,True
2,snowmelt,snowmelt.1979_JFM.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,s3://nasa-cryo-scratch/jkingslake/Daily-2km-zarr/snowmelt/snowmelt.1979_JFM.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,67.294941,974,True
3,t2m,t2m.1979_JFM.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,s3://nasa-cryo-scratch/jkingslake/Daily-2km-zarr/t2m/t2m.1979_JFM.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,700.461533,32,True
4,ff10m,ff10m.1979_AMJ.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,s3://nasa-cryo-scratch/jkingslake/Daily-2km-zarr/ff10m/ff10m.1979_AMJ.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,894.754988,33,True
5,snowmelt,snowmelt.1979_AMJ.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,s3://nasa-cryo-scratch/jkingslake/Daily-2km-zarr/snowmelt/snowmelt.1979_AMJ.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,11.442309,1038,True
6,precip,precip.1979_AMJ.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,s3://nasa-cryo-scratch/jkingslake/Daily-2km-zarr/precip/precip.1979_AMJ.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,899.813609,33,True
7,t2m,t2m.1979_AMJ.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,s3://nasa-cryo-scratch/jkingslake/Daily-2km-zarr/t2m/t2m.1979_AMJ.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,725.529304,33,True
8,precip,precip.1979_JAS.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,s3://nasa-cryo-scratch/jkingslake/Daily-2km-zarr/precip/precip.1979_JAS.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,903.792647,33,True
9,ff10m,ff10m.1979_JAS.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,s3://nasa-cryo-scratch/jkingslake/Daily-2km-zarr/ff10m/ff10m.1979_JAS.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,902.776493,33,True
10,snowmelt,snowmelt.1979_JAS.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,s3://nasa-cryo-scratch/jkingslake/Daily-2km-zarr/snowmelt/snowmelt.1979_JAS.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,13.067844,1038,True
11,t2m,t2m.1979_JAS.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,s3://nasa-cryo-scratch/jkingslake/Daily-2km-zarr/t2m/t2m.1979_JAS.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,735.070096,33,True
12,snowmelt,snowmelt.1979_OND.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,s3://nasa-cryo-scratch/jkingslake/Daily-2km-zarr/snowmelt/snowmelt.1979_OND.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,87.167473,1038,True
13,ff10m,ff10m.1979_OND.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,s3://nasa-cryo-scratch/jkingslake/Daily-2km-zarr/ff10m/ff10m.1979_OND.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,901.520007,33,True
14,precip,precip.1979_OND.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,s3://nasa-cryo-scratch/jkingslake/Daily-2km-zarr/precip/precip.1979_OND.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,869.871145,33,True
15,t2m,t2m.1979_OND.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,s3://nasa-cryo-scratch/jkingslake/Daily-2km-zarr/t2m/t2m.1979_OND.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,716.345991,33,True
16,precip,precip.1980_JFM.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,s3://nasa-cryo-scratch/jkingslake/Daily-2km-zarr/precip/precip.1980_JFM.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,869.14342,33,True
